season,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,class
u,5.17,x,,y,f,x,c,u,6.55,3.94,,,w,,,f,f,,d,e
u,13.56,x,d,e,f,p,,w,14.59,33.28,s,y,w,,,f,f,,d,e
a,7.59,f,,g,f,d,c,y,7.17,11.66,b,,n,,,f,f,,d,p
a,7.93,f,s,w,f,e,c,p,5.09,13.03,,,w,,w,t,e,,g,e
a,2.51,f,y,n,f,a,d,p,5.38,3.24,,i,n,,,f,f,,l,e
u,5.77,x,i,k,f,e,,k,7.06,8.03,,,o,,,f,f,,m,p
a,6.4,f,s,n,f,s,c,w,6.34,11.16,b,i,w,,,f,f,,g,e
a,5.56,s,,n,f,d,c,w,5.32,8.31,,s,w,,,f,f,,l,e
a,19.33,p,y,n,f,,,w,28.44,20.51,s,,n,,,t,m,,m,e
u,16.61,p,y,w,f,,,w,21.11,20.03,s,,n,,,t,m,,d,e
a,1.52,x,g,y,f,d,d,n,2.0,2.61,,s,n,,,f,f,,h,p
a,6.8,x,h,g,f,a,d,n,6.87,6.13,,t,g,,,t,l,,d,e
a,7.42,x,d,n,t,p,,y,5.92,12.76,,,e,,,f,f,,d,e
u,3.11,f,s,g,f,d,c,w,3.79,9.36,,,w,,,f,f,,g,p
a,7.86,s,l,w,f,d,,p,3.53,10.93,,,w,,,f,f,,d,e
u,8.6,s,t,p,t,d,c,o,6.22,17.93,,,w,,,f,f,,d,e
a,6.41,x,t,g,f,a,d,n,5.98,4.96,,t,g,,,t,l,,d,e
a,6.3,s,,n,f,d,c,w,4.02,7.07,,s,w,,,f,f,,l,e
u,8.28,x,g,n,f,e,,w,9.79,18.79,,y,w,u,w,t,p,,d,p
a,11.69,f,g,e,f,e,,w,17.18,17.11,s,y,w,u,w,t,p,,d,p
a,1.44,b,h,n,f,a,,n,4.83,1.61,,t,n,,,f,f,,g,p
w,2.56,o,s,n,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,p
a,12.83,s,e,n,f,a,c,w,5.76,22.84,s,,w,,,f,f,,l,e
a,7.81,f,t,o,f,s,,y,8.1,11.89,,i,o,,,f,f,,d,e
a,2.53,b,,n,f,a,,g,5.53,2.43,,s,g,,,f,f,,d,p
a,6.12,b,h,g,f,s,d,g,5.7,10.36,,s,g,,,f,f,,d,e
a,10.0,x,e,n,f,a,,n,12.04,17.03,s,,n,,n,f,f,,h,p
a,2.83,x,i,e,f,,,e,4.28,5.81,,,e,,,f,f,n,d,p
u,5.63,x,l,w,f,d,,w,3.64,8.9,,,w,,,f,f,,g,e
a,2.88,f,w,r,f,a,,y,4.72,5.02,,t,y,,,f,f,,g,p
a,0.71,f,,o,f,d,,o,4.4,0.94,,,o,,,f,f,w,g,p
a,8.5,s,t,p,t,d,c,o,6.88,17.72,,,w,,,f,f,,d,e
w,1.48,x,w,n,f,,d,k,4.6,2.28,,,w,,,f,f,,g,e
a,5.75,f,t,y,f,x,c,y,4.15,14.2,,,y,,,f,f,,d,p
a,2.84,s,s,w,f,d,c,w,2.56,7.14,,,w,,,f,f,,g,p
a,5.09,x,w,y,f,f,f,f,4.02,12.34,,,y,,,f,f,,d,e
a,3.53,s,,y,f,f,f,f,6.31,7.29,,,o,,,f,f,,d,e
a,7.88,x,w,p,f,s,c,p,4.39,10.14,,,p,,,f,f,,d,p
s,10.37,f,s,w,f,e,c,w,18.09,13.31,,s,w,,,t,e,,g,e
u,2.25,b,g,n,f,,c,n,5.61,2.85,,,n,,,f,f,,d,p
u,4.16,x,y,l,f,s,c,g,5.57,6.96,,y,w,,,t,e,u,d,p
a,2.15,f,h,y,f,,,n,6.94,2.83,,,y,,,f,f,,g,p
s,5.25,p,,n,f,f,f,f,5.96,22.39,,,n,,,f,f,,l,e
s,5.24,o,,n,f,f,f,f,5.2,20.71,,,n,,,f,f,,d,e
u,16.6,f,t,n,t,d,c,w,5.43,25.88,,,n,,,f,f,,d,p
a,4.98,b,t,n,f,,,n,11.2,6.35,,,w,,,t,,k,g,p
u,18.68,x,h,o,f,e,,w,18.63,19.09,s,y,w,u,w,t,p,,d,p
a,3.39,x,t,o,f,a,c,n,3.82,5.12,,y,n,,,t,z,,d,p
a,2.68,s,w,o,t,d,c,n,3.97,6.25,,,n,,,f,f,,d,p
u,5.72,c,i,y,f,,c,r,6.5,8.11,,,w,,,f,f,,d,p
a,13.46,f,t,n,t,d,c,n,6.62,16.29,,,n,,,f,f,,h,p
a,2.95,b,s,y,f,,c,r,7.53,6.97,,,y,u,w,t,z,r,d,p
a,1.58,b,h,n,f,a,,n,4.51,1.4,,t,n,,,f,f,,h,p
a,9.84,x,t,n,t,p,,y,8.05,22.22,,,n,,,f,f,,d,e
u,4.25,s,d,o,f,d,c,o,3.74,6.03,,,o,,,f,f,,d,p
u,8.74,s,t,p,t,d,c,p,7.37,14.83,,,p,,,t,f,,d,p
u,0.86,x,g,o,f,,,y,3.35,0.69,,,w,,,f,f,,d,p
a,4.67,c,i,y,f,,c,n,6.81,7.93,,,w,,,f,f,,d,p
u,7.65,o,,n,f,,,w,4.64,20.39,,,n,,,f,f,,d,e
a,7.86,x,d,n,t,d,c,w,8.17,9.82,,,e,,,f,f,,d,p
a,9.97,x,t,n,t,p,,y,7.92,22.07,,,n,,,f,f,,d,e
a,5.88,c,i,y,f,,c,n,6.63,8.92,,,w,,,f,f,,d,p
u,3.63,o,,w,f,f,f,f,5.34,30.57,,g,w,,,t,f,,p,p
u,3.14,x,,y,f,a,c,y,3.74,8.87,,,w,,,f,f,,d,e
u,3.51,f,d,n,f,x,c,y,4.04,3.0,b,i,n,,,f,f,,d,p
a,3.87,c,i,y,f,,c,r,5.53,6.89,,,w,,,f,f,,d,p
s,1.91,b,g,w,f,,c,n,5.61,2.93,,,n,,,f,f,,m,p
u,7.32,f,,w,f,x,c,w,10.48,11.41,r,i,w,,,f,f,,d,p
a,10.95,p,s,w,t,e,,n,11.0,18.54,s,,w,,,t,l,,m,e
s,4.53,o,s,o,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,p
w,5.92,f,,n,f,d,c,w,4.6,9.12,b,,n,,,f,f,,d,p
w,5.81,b,s,n,f,,,w,11.25,13.35,,s,w,,,t,z,,d,p
a,6.29,x,h,n,f,a,d,n,7.59,5.71,,t,g,,,t,l,,d,e
a,4.37,o,s,n,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,p
a,0.58,x,g,o,f,,,y,3.14,0.71,,,w,,,f,f,,d,p
a,7.07,x,y,w,t,,,n,7.0,11.75,s,,w,,,t,l,,g,p
u,9.01,s,,w,t,d,c,y,5.52,21.37,,,w,,,f,f,,d,e
a,3.77,x,,w,f,,c,w,3.07,11.3,,,y,,,f,f,,d,p
u,3.43,b,t,n,f,,,n,7.66,5.53,,,w,,,t,,k,g,p
a,3.7,x,s,w,f,d,d,w,3.11,5.74,,,w,,,f,f,,m,e
a,4.11,f,g,g,f,a,d,g,5.9,4.05,,s,g,,,f,f,,d,e
u,7.42,x,e,l,f,x,c,w,6.36,14.81,,,w,,,f,f,,d,e
a,9.4,f,y,y,f,s,c,y,7.27,18.93,,y,y,,,f,f,,d,p
u,8.55,f,,r,f,x,c,n,6.91,12.33,,,w,,,f,f,,d,p
a,2.15,x,y,o,f,a,,o,2.88,5.35,,,o,,,f,f,,m,p
a,1.31,x,,n,f,,,n,4.92,2.5,,s,n,,,f,f,k,g,p
u,5.77,f,w,y,f,f,f,f,4.1,12.17,,,y,,,f,f,,d,e
w,6.64,p,s,g,f,,,k,12.49,12.53,,s,w,,,t,z,,g,p
u,11.69,p,w,n,f,p,,w,11.57,52.56,,,n,,,f,f,,d,e
u,3.65,b,t,n,f,x,c,p,4.65,3.96,,i,n,,,f,f,,g,p
a,4.73,x,,p,f,,c,w,3.39,12.57,,,y,,,f,f,,d,p
a,11.16,x,e,y,f,x,c,w,7.74,26.54,,,w,,,f,f,,d,e
a,1.06,x,g,w,f,a,d,w,3.03,1.68,,,n,,,f,f,,l,p
u,2.26,b,,n,f,a,,g,4.99,1.98,,s,g,,,f,f,,d,p
u,13.14,f,t,k,t,d,c,n,5.0,26.62,,,n,,,f,f,,d,p
a,6.2,x,,y,f,s,d,y,5.54,14.45,,i,y,,,f,f,,d,p
a,10.86,p,,n,f,p,,w,10.0,28.7,c,,n,,,f,f,w,d,p
a,2.21,x,,u,f,,d,u,6.01,4.11,,,w,,,f,f,,d,e
a,4.11,s,d,y,f,d,c,o,4.08,6.33,,,y,,,f,f,,h,p
u,12.5,x,,g,f,e,,w,11.06,12.09,,,w,u,w,t,e,,d,p
a,8.82,s,t,p,t,d,c,p,7.88,15.51,,,p,,,t,f,,d,p
a,2.53,x,,u,f,,d,w,6.34,4.63,,,w,,,f,f,,d,e
w,14.9,f,e,g,f,a,c,w,10.04,25.64,s,,w,,,f,f,,l,e
u,3.15,b,y,n,f,,c,n,6.02,3.21,,,w,,,f,f,,d,e
a,2.27,x,g,n,f,a,,w,6.82,2.54,,,w,,,f,f,,d,p
w,8.03,o,t,r,f,,c,y,1.48,15.26,,,y,,,f,f,,d,p
a,1.19,b,t,n,f,,c,g,4.12,2.46,,,n,,,t,f,,m,p
a,2.38,x,y,o,f,a,,o,3.08,5.17,,,o,,,f,f,,h,p
u,6.54,x,d,y,t,p,,y,7.13,16.3,,,y,,,f,f,,d,e
s,6.27,x,h,n,f,x,c,n,5.72,6.1,,y,n,,,t,r,,d,e
u,3.39,b,y,n,f,,c,w,5.75,4.54,s,s,w,,,f,f,,d,p
w,4.36,x,t,n,f,d,,o,6.3,8.0,,t,o,,,f,f,,d,e
u,18.56,x,k,w,t,d,d,n,7.48,32.63,,,w,,,f,f,,d,p
u,6.24,x,t,n,f,e,,w,11.91,12.38,,s,w,u,w,f,f,,d,e
a,10.05,f,e,b,f,,c,b,4.84,20.92,,,w,,,t,f,,d,e
u,5.42,f,w,y,f,f,f,f,5.1,13.94,,,y,,,f,f,,d,e
u,19.37,f,k,w,t,d,d,w,7.24,28.81,,,w,,,f,f,,d,p
a,14.54,f,k,w,t,d,d,w,5.54,24.8,,,w,,,f,f,,d,p
a,3.22,x,d,n,f,p,,y,4.21,9.51,,,n,,,f,f,,d,e
w,5.25,x,t,o,f,a,d,w,7.63,6.15,,s,o,,,f,f,,d,e
u,3.58,b,g,w,f,x,d,w,4.17,2.62,,,y,,,f,f,,g,e
a,7.31,f,s,n,f,s,c,w,5.51,10.77,b,i,w,,,f,f,,g,e
w,22.79,f,k,w,t,d,d,w,8.23,34.26,,,w,,,f,f,,d,p
a,4.24,f,l,e,f,x,d,y,5.69,4.89,,,n,,,f,f,,d,p
a,3.07,x,h,n,f,a,c,n,4.37,5.47,,y,n,,,t,z,,d,p
u,0.76,x,,o,f,d,,o,5.18,1.05,,,o,,,f,f,w,g,p
a,3.27,b,y,n,f,e,c,w,4.14,3.24,,k,w,,,t,e,,d,p
a,3.73,x,d,n,f,p,,e,4.95,9.22,,,y,,,f,f,,d,e
u,2.44,x,g,n,f,a,,p,6.58,2.41,,,w,,,f,f,,d,p
u,8.26,x,,w,f,x,c,w,10.04,11.63,r,i,w,,,f,f,,h,p
a,3.17,c,,u,f,a,c,n,3.4,3.34,,i,w,,,f,f,,p,p
u,19.35,x,k,w,t,d,d,n,7.55,32.65,,,w,,,f,f,,d,p
u,5.16,o,,w,f,f,f,f,5.51,29.61,,g,w,,,t,f,,p,p
a,4.16,o,,w,f,f,f,f,5.65,28.42,,g,w,,,t,f,,d,p
a,3.44,s,d,n,t,d,c,p,4.6,5.51,,,g,,,f,f,,d,e
a,3.09,s,w,n,t,d,c,n,2.95,5.83,,,n,,,f,f,,d,p
a,5.89,s,,n,t,d,c,w,6.92,6.51,,,n,,,f,f,,d,p
w,11.3,x,k,w,t,d,d,n,6.38,29.15,,,w,,,f,f,,d,p
a,3.41,x,k,n,f,p,,y,4.18,9.95,,,y,,,f,f,,d,e
a,6.47,x,t,n,f,x,c,y,5.31,12.24,,,y,,,f,f,,d,p
w,1.52,x,,u,f,,d,u,5.81,3.9,,,w,,,f,f,,d,e
a,5.65,x,e,e,f,a,,g,8.65,10.15,,,y,,w,t,z,,d,p
a,15.19,s,k,w,t,d,d,w,7.8,29.04,,,w,,,f,f,,d,p
u,1.81,b,h,n,f,a,,n,4.31,1.47,,t,n,,,f,f,,d,p
u,5.48,f,i,n,f,e,c,p,4.18,11.53,,,w,,,t,l,,w,e
s,7.19,c,,g,f,f,f,f,5.68,20.9,,,n,,,f,f,,l,e
a,7.83,f,y,y,f,s,c,y,5.95,17.41,,y,u,,,f,f,,d,p
a,15.13,x,s,n,t,p,,y,9.75,35.31,c,,y,,,f,f,,d,p
u,3.92,s,d,u,t,d,c,p,4.86,6.32,,,g,,,f,f,,d,e
u,13.6,f,,g,f,e,,w,11.53,15.9,,,w,u,w,t,e,,d,p
a,1.08,b,t,n,f,,c,k,2.89,2.47,,,n,,,t,f,,m,p
u,0.76,x,g,e,f,a,,n,3.39,0.98,,h,k,,,f,f,,d,p
u,7.42,s,d,o,f,d,c,o,3.84,7.09,,,o,,,f,f,,d,p
a,9.33,p,,n,f,p,,p,9.38,30.11,c,,n,,,f,f,p,d,p
a,1.54,x,t,n,f,a,,w,4.89,1.66,,t,y,,,f,f,,d,e
s,3.12,b,g,g,f,a,d,g,4.37,3.57,,s,g,,,f,f,,d,e
a,1.65,c,g,n,f,a,,w,5.22,1.71,,,g,,,f,f,,l,e
a,8.48,p,,n,f,p,,p,10.23,34.35,c,,n,,,f,f,w,d,p
a,4.9,x,,y,f,s,d,y,4.68,11.64,,i,y,,,f,f,,d,p
u,4.66,f,k,n,f,p,,n,3.26,5.13,,k,n,,,t,f,,d,p
a,5.88,b,t,w,f,e,c,w,10.51,11.48,,y,w,u,w,t,l,,d,p
a,8.94,o,k,n,f,,c,y,1.62,17.05,,,n,,,f,f,,d,p
a,7.35,f,h,o,f,s,,n,8.96,12.24,,t,o,,,f,f,,d,e
u,6.69,f,,y,f,x,c,y,6.8,12.1,,,w,,,f,f,,d,p
a,8.83,x,y,e,f,,,w,7.27,24.53,b,,n,,w,t,e,,d,e
u,3.12,f,w,y,f,a,,r,5.44,6.85,,t,y,,,f,f,,m,p
u,4.88,x,t,l,f,s,c,g,7.09,7.69,,y,l,,,t,e,u,g,p
a,2.46,f,y,o,f,a,,y,3.22,5.8,,,y,,,f,f,,h,p
a,12.07,x,s,e,f,p,,y,4.78,35.07,,,n,,,f,f,,d,p
u,7.72,x,d,n,t,p,,y,6.31,12.38,,,y,,,f,f,,d,e
a,2.25,x,i,l,f,a,,w,4.13,2.61,,,w,,,f,f,p,g,p
u,14.23,f,h,e,f,e,,w,17.22,17.23,s,y,w,u,w,t,p,,d,p
a,3.1,x,y,n,f,a,,w,5.63,3.56,,y,y,,,t,r,,g,p
a,2.12,f,s,o,f,d,,y,2.87,5.74,,,o,,,f,f,,m,p
u,7.11,x,y,w,f,e,c,p,4.11,12.02,,,w,,w,t,e,,g,e
u,5.68,c,k,w,t,x,c,r,5.49,11.49,,,w,,,f,f,,d,p
a,4.56,f,,e,f,x,,w,5.12,6.4,,,w,,,f,f,,d,p
u,2.4,x,,b,f,,d,u,5.83,4.85,,,w,,,f,f,,d,e
a,8.12,x,,n,f,a,,w,8.99,16.2,,,w,,,f,f,,d,e
a,5.41,x,d,y,t,p,,y,6.63,14.24,,,y,,,f,f,,d,e
a,6.61,x,s,u,f,a,c,w,4.13,14.41,,,w,,,f,f,,d,e
w,0.62,x,g,n,f,a,,p,3.98,0.96,,s,k,,,f,f,,d,p
u,7.34,s,,y,f,a,c,w,5.16,13.72,,,w,,,f,f,,d,e
u,1.74,x,g,n,f,a,,w,6.68,2.29,,t,y,,,f,f,,d,e
a,3.83,f,l,n,f,x,d,n,5.41,5.12,,,n,,,f,f,,d,p
a,5.56,x,e,e,f,a,,w,8.4,10.4,,,y,,w,t,z,,d,p
a,6.11,c,i,y,f,,c,n,7.33,8.27,,,w,,,f,f,,d,p
u,4.94,x,,w,f,x,c,u,7.06,3.96,,,w,,,f,f,,d,e
u,3.67,b,y,n,f,,c,n,7.23,3.28,,,w,,,f,f,,d,e
u,4.02,o,,w,f,f,f,f,5.95,31.39,,g,w,,,t,f,,d,p
a,5.92,x,i,y,f,a,c,k,7.66,7.44,,i,n,,k,t,z,k,d,p
u,7.86,s,d,n,t,d,c,y,6.09,9.71,,,n,,,f,f,,d,p
u,3.47,f,h,n,f,,c,n,6.63,6.81,,s,w,,w,f,f,k,d,e
u,1.41,x,t,y,f,d,,w,5.83,1.69,,t,y,,,f,f,,d,e
a,4.81,x,s,r,t,s,d,r,4.87,13.86,r,y,n,,,f,f,,d,p
s,2.51,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,p
u,2.96,o,,g,f,f,f,f,3.55,14.0,,g,n,,,f,f,,d,p
a,0.93,x,g,w,f,a,d,w,2.38,1.26,,,n,,,f,f,,l,p
a,12.87,x,s,w,t,e,,n,9.88,17.29,s,,w,,,t,l,,m,e
a,8.87,f,e,b,f,,c,b,4.86,20.43,,,w,,,t,f,,d,e
u,1.7,x,g,y,f,d,d,n,2.09,2.59,,s,n,,,f,f,,d,p
a,2.84,b,y,n,f,,c,w,5.84,4.33,s,s,w,,,f,f,,d,p
a,6.14,x,t,e,f,x,,w,10.15,5.25,r,g,n,,,f,f,,d,p
a,7.73,p,g,n,f,e,,w,9.09,16.3,,y,w,u,w,t,p,,d,p
a,5.76,f,,y,f,s,d,y,5.85,13.8,,i,y,,,f,f,,d,p
a,15.78,p,y,n,f,,,w,20.92,18.36,s,,n,,,t,m,,m,e
a,19.85,x,k,w,t,d,d,w,7.65,31.86,,,w,,,f,f,,d,p
a,5.67,b,i,e,f,e,,y,6.86,7.76,,,y,,,f,f,,g,p
u,0.56,x,,o,f,d,,o,3.89,0.87,,,y,,,f,f,w,g,p
a,7.42,f,y,e,f,s,c,y,6.11,15.68,,y,u,,,f,f,,d,p
u,8.41,x,i,y,f,a,c,n,8.73,8.68,,i,n,,k,t,z,k,g,p
u,7.27,f,h,e,f,x,d,w,6.41,16.85,b,,w,,,f,f,,d,p
u,9.09,x,,w,f,x,c,w,9.87,11.6,r,i,w,,,f,f,,h,p
w,8.01,x,s,n,f,e,c,p,5.95,9.77,,i,w,,,f,f,p,d,e
w,7.19,f,w,p,f,s,c,p,4.64,10.4,,,p,,,f,f,,d,p
a,1.76,p,t,n,f,a,c,g,6.95,2.46,,t,y,,,t,e,,m,p
a,2.5,f,d,b,f,x,c,w,3.44,2.42,b,s,n,,,f,f,,d,p
a,2.87,f,s,w,f,d,c,w,3.28,7.4,,,w,,,f,f,,g,p
a,7.83,x,t,r,t,d,c,n,5.23,13.85,,,n,,,f,f,,h,p
a,7.31,f,,y,f,x,c,y,6.89,11.48,,,w,,,f,f,,d,p
a,6.77,x,d,e,t,d,c,w,5.77,8.0,,,e,,,f,f,,d,p
u,19.26,s,k,w,t,d,d,w,5.89,26.37,,,w,,,f,f,,d,p
u,8.36,s,d,e,t,d,c,w,6.93,10.8,,,e,,,f,f,,d,p
a,4.11,x,,l,f,a,,r,5.88,7.45,,,r,,,f,f,,l,e
w,3.64,f,t,n,f,d,,o,5.45,6.48,,t,w,,,f,f,,d,e
u,7.61,f,,y,f,a,c,w,6.2,15.8,,,g,,,f,f,,d,e
s,5.71,b,s,n,f,,,k,9.68,12.57,,s,w,,,t,z,,d,p
a,6.43,x,d,n,t,d,c,n,5.68,9.22,,,e,,,f,f,,d,p
w,4.81,x,,g,f,d,c,w,4.97,8.55,b,,n,,,f,f,,d,p
u,2.02,f,,w,f,a,c,n,3.22,3.41,,i,w,,,f,f,,d,p
u,1.71,f,w,g,f,,d,k,5.21,2.54,,,w,,,f,f,,d,e
u,0.76,b,t,n,f,,c,g,3.6,2.43,,,n,,,t,f,,g,p
a,2.93,x,d,w,f,d,d,w,4.01,2.8,,h,w,,,f,f,,g,p
a,1.87,f,i,l,f,a,,p,4.74,2.63,,,w,,,f,f,p,g,p
u,4.24,o,t,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,p
a,6.87,f,t,y,f,x,c,y,7.02,18.69,,,y,,,f,f,,d,p
a,3.04,x,i,e,f,,,e,4.65,5.69,,,e,,,f,f,n,d,p
a,6.32,x,e,e,f,a,,w,8.3,10.61,,,n,,w,t,z,,d,p
w,0.74,p,g,w,f,,,g,3.22,1.49,,,w,,,f,f,,d,e
a,11.83,x,h,y,f,s,,p,6.67,17.3,,i,n,,,f,f,,d,p
a,0.85,p,g,g,f,,,g,2.54,1.19,,,w,,,f,f,,d,e
a,9.57,x,,n,f,a,,w,9.43,15.73,,,g,,,f,f,,d,e
w,5.12,x,h,n,f,x,c,n,4.71,5.21,,y,n,,,t,r,,d,e
w,5.17,x,,g,f,d,c,y,5.47,10.04,b,,n,,,f,f,,d,p
u,4.58,x,h,y,f,a,c,y,6.29,8.6,,g,o,,,f,f,,g,p
a,4.1,x,t,n,f,p,,n,7.48,12.21,,,e,,,f,f,,d,e
a,7.18,f,s,n,f,s,,n,8.68,12.82,,i,n,,,f,f,,d,e
a,4.74,b,g,n,f,x,d,w,5.47,3.72,,,y,,,f,f,,g,e
a,3.8,f,,u,f,a,,w,4.6,7.41,,,y,,,f,f,,d,p
u,6.47,x,t,e,f,x,d,w,4.91,16.43,b,,w,,,f,f,,d,p
a,2.86,f,w,o,t,d,c,n,3.2,6.11,,,n,,,f,f,,d,p
u,6.69,f,h,k,f,s,d,g,5.23,10.66,,s,g,,,f,f,,d,e
a,2.32,f,d,p,f,a,,y,4.84,6.48,,t,y,,,f,f,,m,p
a,8.5,f,,y,f,x,c,y,6.72,12.25,,,w,,,f,f,,d,p
a,18.8,f,d,n,f,p,,y,6.27,49.9,,,n,,,f,f,,d,p
a,5.9,x,t,e,f,x,,w,12.4,6.6,r,g,n,,,f,f,,d,p
u,8.16,x,s,k,f,a,c,w,3.64,11.98,,,w,,,f,f,,d,e
w,3.86,x,s,w,f,d,d,w,3.31,5.52,,,w,,,f,f,,m,e
a,7.98,x,,n,f,s,c,g,7.39,19.16,b,,u,,,f,f,,g,e
w,8.31,f,,n,f,s,c,p,6.93,19.35,b,,u,,,f,f,,d,e
w,14.87,x,e,n,f,d,c,w,7.84,24.21,s,,w,,,f,f,,d,e
a,5.71,f,s,n,f,s,c,w,6.03,8.98,b,i,w,,,f,f,,l,e
a,6.67,f,s,o,f,d,d,o,6.53,13.05,,,w,,,f,f,,d,e
a,6.0,x,d,n,t,d,c,w,7.9,8.67,,,n,,,f,f,,d,p
u,8.33,s,t,g,t,d,,w,4.3,11.06,,t,n,,,f,f,,d,p
w,17.47,x,t,n,f,a,d,k,7.98,24.04,,,w,,,f,f,w,d,e
a,10.24,p,i,n,t,e,,p,8.75,16.18,,y,w,,,t,p,,d,e
a,6.14,f,s,n,f,x,c,w,8.18,11.23,,s,n,,,f,f,,l,e
a,15.77,s,t,k,f,a,d,y,6.08,19.38,,,w,,,f,f,w,d,e
u,15.94,p,t,n,f,p,,y,15.03,58.45,,,n,,,f,f,,d,e
w,6.34,x,t,n,f,s,,g,5.54,8.19,,y,n,,,f,f,,d,p
a,3.57,s,,y,f,f,f,f,6.94,8.68,,,y,,,f,f,,d,e
w,5.11,x,,g,f,d,c,w,5.15,9.15,b,,n,,,f,f,,d,p
w,6.9,b,s,n,f,,,w,11.56,12.92,,s,w,,,t,z,,d,p
a,7.44,x,,n,f,x,c,w,7.77,18.5,,s,w,,,f,f,,d,e
u,6.42,o,l,n,f,f,f,f,7.1,48.14,,,n,,,f,f,g,l,e
u,5.33,x,t,n,f,a,d,n,5.86,5.25,,t,g,,,t,l,,d,e
a,13.9,x,s,n,t,p,,y,8.24,26.6,c,,y,,,f,f,,d,p
a,3.97,o,l,n,f,f,f,f,7.29,58.45,,,n,,,f,f,g,l,e
w,13.55,s,e,n,f,a,c,w,8.04,25.47,s,,w,,,f,f,,l,e
a,11.15,s,,g,f,s,c,u,8.17,21.0,,,b,,,f,f,,d,e
u,0.82,x,,o,f,d,,o,3.88,0.98,,,y,,,f,f,w,g,p
a,13.3,f,t,n,t,d,c,n,5.53,13.73,,,n,,,f,f,,h,p
w,12.44,f,,g,f,d,c,y,2.64,15.42,,,w,,,f,f,,d,e
u,2.71,o,,g,f,f,f,f,3.14,14.65,,g,n,,,f,f,,d,p
u,3.56,s,,u,f,a,,w,3.8,7.15,,,y,,,f,f,,d,p
u,12.24,x,h,n,t,p,,y,9.03,23.13,,,n,,,f,f,,d,e
a,3.71,o,,w,f,f,f,f,4.59,26.36,,g,w,,,t,f,,d,p
a,3.18,f,y,p,f,e,c,n,4.09,3.54,,k,w,,,t,e,,m,p
a,1.92,p,t,n,f,a,c,g,7.23,2.69,,t,y,,,t,e,,m,p
a,5.03,x,,w,f,,c,r,3.0,12.13,,,y,,,f,f,,d,p
a,3.22,f,s,g,f,d,c,w,3.32,8.14,,,w,,,f,f,,g,p
u,3.26,x,h,n,f,,c,n,6.53,6.52,,s,w,,w,f,f,k,d,e
a,6.11,x,d,n,t,p,,y,7.52,16.63,,,y,,,f,f,,d,e
u,8.51,s,t,p,t,d,c,p,7.7,15.36,,,p,,,t,f,,d,p
w,1.53,x,w,g,f,,d,g,4.56,2.42,,,w,,,f,f,,d,e
a,6.06,x,d,y,t,p,,y,7.25,14.59,,,y,,,f,f,,d,e
a,3.55,x,d,n,f,p,,n,5.33,10.9,,,y,,,f,f,,d,e
a,6.38,x,l,w,f,d,,p,3.3,9.2,,,w,,,f,f,,g,e
u,13.19,s,t,o,t,d,c,o,7.61,19.31,,,w,,,f,f,,d,e
a,9.57,f,w,e,f,x,,w,15.36,7.7,r,g,n,,,f,f,,d,p
a,19.46,x,k,w,t,d,d,w,8.37,28.29,,,w,,,f,f,,d,p
a,2.63,o,,g,f,f,f,f,3.17,14.09,,g,n,,,f,f,,d,p
u,6.75,f,,y,f,a,c,w,6.85,16.96,,,g,,,f,f,,d,e
u,4.83,b,h,n,f,,,n,9.92,7.11,,,w,,,t,,k,g,p
a,1.42,x,g,n,f,d,d,n,1.67,2.6,,s,n,,,f,f,,d,p
a,5.6,x,i,e,f,e,,y,6.89,7.17,,,o,,,f,f,,g,p
a,7.97,x,y,w,t,,,p,7.19,12.55,s,,w,,,t,l,,d,p
u,6.49,x,k,n,f,d,c,n,6.03,6.77,,i,y,,,t,,,d,p
u,4.59,x,,r,f,a,,r,5.15,6.8,,,r,,,f,f,,d,e
w,9.22,x,y,o,f,a,,o,7.95,19.96,r,,y,,,t,r,n,d,p
a,5.73,f,,y,f,s,d,y,5.26,12.12,,i,y,,,f,f,,d,p
u,5.46,o,,n,f,,,w,2.78,15.81,,,n,,,f,f,,d,e
u,2.76,x,g,n,f,a,,w,7.92,2.64,,,w,,,f,f,,d,p
w,7.26,o,t,y,f,,c,o,1.87,18.91,,,y,,,f,f,,d,p
w,6.33,f,s,b,f,x,c,w,6.94,10.12,,s,n,,,f,f,,l,e
a,1.4,x,g,n,f,d,d,n,2.21,2.6,,s,n,,,f,f,,d,p
a,7.61,f,,n,t,,,w,9.48,14.79,b,,w,u,w,t,g,,d,e
u,4.11,o,s,r,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,p
a,5.94,x,s,n,f,x,c,w,7.0,10.78,,s,n,,,f,f,,l,e
a,1.54,b,h,n,f,a,,n,4.05,1.33,,t,n,,,f,f,,h,p
u,2.95,f,t,p,f,a,,y,5.04,5.33,,t,r,,,f,f,,d,p
a,4.14,f,h,n,f,a,d,y,7.25,4.93,,s,n,,,f,f,,d,e
